customer_id,subscription_type,plan_type,avg_articles_per_week,days_since_last_login,support_tickets_last_90d,email_open_rate,time_spent_per_session_mins,region,most_read_category,completion_rate,article_skips_per_week,primary_device,last_campaign_engaged,campaign_ctr,nps_score,sentiment_score,csat_score,customer_age,gender,signup_source,payment_method,churn,tenure_days,discount_used_last_renewal_encoded,auto_renew_encoded,previous_renewal_status_encoded,downgrade_history_encoded
80,Digital,Annual,2.5,28,0,0.69,14.01,North America,Finance,0.49,2,Mobile,Survey,0.11,-43,-0.12,4,35,Male,Web,PayPal,0,480,1,1,1,0
81,Digital+Print,Annual,3.85,2,1,0.38,16.24,North America,Culture,0.63,0,Desktop,Newsletter Promo,0.44,94,-0.08,2,33,Male,Mobile App,Credit Card,0,1696,0,0,1,0
82,Digital,Monthly,1.47,7,1,0.87,2.19,Europe,Environment,0.63,0,Desktop,,0.46,-29,-0.33,4,36,Female,Mobile App,Credit Card,1,1719,1,0,1,0
83,Digital,Monthly,2.96,28,0,0.57,4.74,Others,Culture,0.57,0,Mobile,,0.33,-3,-0.14,3,33,Male,Web,PayPal,0,471,1,1,1,0
84,Espresso,Annual,2.74,23,4,0.44,15.24,Europe,Finance,0.87,2,Mobile,Newsletter Promo,0.07,-28,0.6,2,22,Male,Mobile App,Credit Card,0,1619,0,1,1,0
85,Digital,Annual,3.34,18,0,0.07,8.89,North America,Culture,0.62,2,Tablet,Retention Offer,0.3,-20,0.07,3,44,Female,Web,Credit Card,0,943,0,1,1,0
86,Digital+Print,Monthly,2.45,3,1,0.46,7.31,Europe,Finance,0.72,3,Desktop,,0.2,68,0.53,3,61,Male,Mobile App,PayPal,0,1419,0,1,1,0
87,Digital,Monthly,2.8,17,2,0.82,4.98,Asia,Politics,0.93,1,Desktop,,0.09,-36,-0.08,4,23,Male,Web,Credit Card,1,1168,1,0,1,0
88,Digital+Print,Monthly,4.24,19,0,0.61,7.78,Asia,Politics,0.91,2,Mobile,Survey,0.17,67,0.01,4,51,Female,Web,Credit Card,0,814,0,1,1,0
89,Digital+Print,Annual,2.34,26,2,0.83,4.39,Asia,Finance,0.92,2,Mobile,Newsletter Promo,0.58,-96,0.16,2,33,Male,Mobile App,Credit Card,0,272,0,1,1,0
90,Digital+Print,Monthly,0.59,10,0,0.49,18.36,Europe,Environment,0.49,1,Desktop,,0.3,-73,0.26,5,40,Female,Mobile App,Credit Card,0,1714,0,1,0,1
91,Digital+Print,Annual,5.62,26,3,0.12,9.91,Asia,Politics,0.32,1,Desktop,Newsletter Promo,0.38,-63,-0.42,1,60,Female,Mobile App,Credit Card,0,254,0,1,1,1
92,Digital,Monthly,5.07,13,0,0.01,9.77,North America,Politics,0.48,1,Desktop,,0.36,-20,-0.01,4,61,Female,Web,Credit Card,0,760,0,1,0,0
93,Digital,Monthly,1.06,24,2,0.3,12.35,North America,Environment,0.5,0,Desktop,,0.23,-14,-0.34,3,49,Male,Mobile App,PayPal,1,559,0,0,1,0
94,Digital,Monthly,4.03,17,3,0.7,13.85,North America,Politics,0.94,0,Desktop,Retention Offer,0.16,45,0.75,1,60,Male,Web,PayPal,1,481,1,1,0,0
95,Digital,Monthly,2.25,27,2,0.79,13.78,Europe,Culture,0.75,3,Desktop,Retention Offer,0.21,-64,-0.86,2,40,Female,Mobile App,Credit Card,1,1104,1,0,1,0
96,Digital,Monthly,3.4,27,0,0.3,14.29,Others,Finance,0.36,1,Mobile,Retention Offer,0.38,54,0.29,1,37,Male,Mobile App,Credit Card,0,1798,1,1,1,0
97,Digital,Monthly,3.44,28,1,0.5,7.48,Asia,Politics,0.39,1,Mobile,Newsletter Promo,0.63,-76,-0.39,1,36,Male,Web,Credit Card,0,1108,0,1,1,0
98,Digital+Print,Monthly,2.65,15,1,0.42,8.81,North America,Environment,0.41,2,Desktop,,0.09,96,-0.57,5,46,Male,Web,PayPal,0,1472,0,1,0,0
99,Digital+Print,Annual,1.82,2,0,0.41,13.08,North America,Politics,0.74,0,Mobile,Retention Offer,0.17,-18,-0.15,5,25,Female,Mobile App,Credit Card,0,1137,1,1,1,0
100,Digital,Monthly,1.96,14,1,0.23,7.89,North America,Technology,0.81,1,Desktop,,0.33,-74,0.65,1,46,Female,Mobile App,PayPal,0,348,0,1,1,0
101,Digital,Monthly,1.63,26,2,0.14,9.98,North America,Politics,0.9,0,Desktop,Newsletter Promo,0.28,-24,-0.32,5,35,Other,Referral,Credit Card,1,467,1,1,0,0
102,Digital,Annual,1.75,26,0,0.2,11.6,Europe,Politics,0.96,0,Tablet,,0.49,81,-0.9,5,22,Female,Web,Debit Card,1,469,1,1,1,0
103,Digital,Annual,2.9,3,1,0.06,13.14,Others,Politics,0.44,2,Mobile,,0.3,34,-0.47,1,29,Male,Mobile App,Credit Card,0,1149,0,0,1,0
104,Digital+Print,Annual,1.93,4,0,0.2,2.89,Others,Politics,0.52,0,Mobile,,0.41,-11,0.06,4,27,Female,Mobile App,PayPal,0,1582,1,1,1,0
105,Digital,Annual,4.02,16,3,0.01,12.86,Europe,Politics,0.47,1,Desktop,,0.5,-74,-0.81,5,64,Female,Mobile App,PayPal,0,1042,1,1,1,0
106,Digital,Monthly,5.23,6,2,0.63,9.07,Asia,Culture,0.55,0,Desktop,Newsletter Promo,0.35,21,0.36,1,54,Female,Mobile App,Credit Card,0,1184,0,1,1,0
107,Digital,Monthly,2.13,15,1,0.32,12.83,Europe,Finance,0.94,0,Desktop,,0.45,-42,-0.79,4,34,Female,Web,PayPal,0,422,0,1,1,1
108,Digital,Annual,3.36,13,1,0.97,13.11,North America,Finance,0.7,4,Mobile,Retention Offer,0.59,-29,-0.24,5,49,Other,Mobile App,PayPal,0,415,0,1,0,0
109,Digital,Monthly,3.75,25,0,0.19,16.43,Europe,Finance,0.82,0,Mobile,Newsletter Promo,0.2,58,0.41,1,21,Female,Mobile App,PayPal,1,1201,0,0,0,0
110,Digital,Monthly,3.71,15,0,0.35,15.41,Europe,Environment,0.64,0,Desktop,Retention Offer,0.39,-10,-0.25,5,48,Female,Web,PayPal,0,1302,0,1,1,0
111,Digital,Annual,3.11,6,0,0.36,15.39,Asia,Environment,0.32,0,Desktop,,0.06,-33,-0.67,4,43,Female,Web,Credit Card,0,368,0,0,1,1
112,Digital,Monthly,4.11,8,1,0.01,15.77,North America,Technology,0.34,3,Desktop,,0.17,5,-0.05,1,29,Other,Mobile App,Credit Card,0,674,1,0,0,0
113,Digital,Monthly,3.72,3,2,0.84,11.17,North America,Culture,0.68,2,Mobile,,0.43,-97,-0.25,4,35,Female,Web,Credit Card,0,273,0,0,0,0
114,Digital,Monthly,1.14,29,0,0.03,10.13,North America,Finance,0.8,1,Mobile,Newsletter Promo,0.51,45,0.61,3,25,Female,Web,PayPal,1,1717,0,1,0,1
115,Digital+Print,Monthly,4.3,29,2,0.94,13.49,Others,Finance,0.45,0,Mobile,Retention Offer,0.11,-38,0.41,2,49,Female,Mobile App,Credit Card,0,1228,1,1,1,0
116,Digital,Monthly,4.33,21,3,0.89,12.93,Europe,Technology,0.81,2,Tablet,Survey,0.31,-14,0.25,3,37,Female,Web,PayPal,1,831,0,0,0,0
117,Digital,Monthly,1.86,10,1,0.54,8.76,Asia,Technology,0.87,0,Desktop,,0.73,79,0.01,5,66,Male,Web,Credit Card,1,1395,1,1,0,0
118,Digital,Annual,3.06,1,1,0.54,11.62,Asia,Finance,0.59,3,Mobile,Newsletter Promo,0.42,10,-0.11,4,57,Male,Mobile App,Credit Card,0,1359,0,1,1,1
119,Espresso,Monthly,4.02,11,0,0.65,9.86,North America,Finance,0.82,0,Mobile,,0.06,90,-0.11,1,30,Male,Web,Credit Card,0,64,0,0,1,0
120,Digital,Monthly,2.69,11,2,0.39,6.58,Europe,Environment,0.58,0,Desktop,Retention Offer,0.42,72,-0.85,4,40,Male,Mobile App,Credit Card,0,50,0,1,1,0
121,Espresso,Annual,4.61,29,2,0.65,15.16,Asia,Culture,0.77,0,Mobile,Retention Offer,0.11,39,0.0,5,20,Female,Web,Credit Card,0,994,1,1,1,0
122,Digital,Annual,6.55,3,1,0.04,10.22,Europe,Finance,0.83,0,Desktop,Newsletter Promo,0.26,35,-0.4,1,52,Female,Mobile App,Credit Card,0,235,0,1,0,0
123,Espresso,Annual,1.82,17,2,0.05,18.19,Others,Technology,0.99,0,Desktop,Newsletter Promo,0.18,-79,-0.04,3,56,Female,Web,Credit Card,1,838,1,1,0,0
124,Digital,Annual,0.93,25,1,0.46,3.5,North America,Politics,0.54,1,Mobile,Newsletter Promo,0.12,-10,0.03,4,67,Other,Web,PayPal,0,726,0,1,0,1
125,Digital,Monthly,3.46,20,2,0.55,7.77,North America,Politics,0.59,1,Mobile,,0.17,68,-0.24,2,38,Male,Mobile App,Credit Card,0,1197,0,1,0,1
126,Digital+Print,Monthly,4.08,6,0,0.89,10.13,Asia,Finance,0.42,1,Desktop,,0.23,15,0.47,5,24,Female,Web,Credit Card,0,1384,0,1,1,0
127,Digital,Monthly,2.65,28,0,0.1,14.55,Asia,Finance,0.44,1,Mobile,,0.33,-60,-0.54,5,43,Male,Mobile App,PayPal,0,189,1,1,1,0
128,Espresso,Monthly,5.18,0,0,0.82,11.6,Others,Politics,0.79,3,Mobile,,0.31,-20,-0.25,4,40,Female,Mobile App,Credit Card,0,1480,1,0,0,1
129,Digital,Monthly,0.99,25,0,0.21,11.24,Europe,Culture,0.94,2,Tablet,Survey,0.42,22,-0.16,3,49,Female,Mobile App,Credit Card,1,1357,0,1,1,0
130,Digital,Monthly,4.04,25,2,0.39,5.49,Others,Finance,0.58,2,Desktop,Retention Offer,0.39,-44,0.58,3,19,Female,Web,Credit Card,0,424,0,1,1,0
131,Digital+Print,Annual,2.09,22,2,0.32,5.37,Asia,Technology,0.43,3,Desktop,,0.34,59,0.02,2,56,Female,Mobile App,Credit Card,0,845,0,0,1,0
132,Digital,Monthly,5.58,25,2,0.4,11.29,Asia,Politics,0.5,2,Mobile,,0.05,26,-0.01,2,19,Male,Web,Credit Card,1,405,0,0,1,0
133,Digital+Print,Monthly,5.99,12,0,0.15,4.54,Europe,Politics,0.62,1,Mobile,Retention Offer,0.3,-6,0.44,4,56,Male,Web,Credit Card,0,1498,0,1,1,0
134,Digital,Monthly,1.85,5,1,0.5,7.87,North America,Culture,0.5,0,Mobile,Newsletter Promo,0.14,-46,-0.26,1,63,Male,Web,Credit Card,1,102,1,1,1,1
135,Digital,Monthly,2.18,5,0,0.8,12.0,Others,Technology,0.46,0,Mobile,,0.28,-95,0.44,3,32,Male,Mobile App,Credit Card,0,622,1,1,1,0
136,Digital,Monthly,4.29,11,1,0.44,6.07,Europe,Environment,0.82,0,Desktop,,0.1,66,0.2,1,33,Female,Mobile App,Credit Card,0,178,0,1,0,1
137,Digital+Print,Annual,2.42,7,1,0.49,16.42,Europe,Environment,0.31,0,Mobile,Newsletter Promo,0.4,-92,0.62,1,43,Female,Web,Credit Card,0,916,0,0,0,0
138,Digital,Monthly,2.93,23,1,0.85,14.9,Europe,Finance,0.68,1,Desktop,,0.54,-69,-0.19,4,25,Female,Mobile App,Credit Card,0,276,1,1,0,0
139,Espresso,Monthly,3.04,21,4,0.71,3.71,Europe,Politics,0.86,2,Mobile,,0.09,63,-0.15,2,33,Female,Mobile App,Credit Card,1,840,1,0,1,0
140,Digital,Monthly,0.12,18,0,0.49,6.27,Europe,Culture,0.49,0,Mobile,Newsletter Promo,0.32,27,0.07,1,38,Male,Web,PayPal,1,469,0,1,0,0
141,Digital,Annual,2.98,4,2,0.26,0.86,North America,Environment,0.72,3,Tablet,,0.42,-85,-0.03,4,56,Male,Mobile App,PayPal,0,1706,0,1,0,0
142,Digital+Print,Monthly,1.97,17,1,0.88,6.87,Asia,Technology,0.77,5,Mobile,,0.35,39,0.38,2,28,Female,Web,PayPal,1,162,0,1,1,1
143,Digital,Monthly,2.26,29,0,0.58,13.07,Europe,Culture,0.76,2,Mobile,,0.09,-60,-0.11,1,41,Male,Mobile App,PayPal,0,684,0,1,0,0
144,Digital,Monthly,5.17,4,1,0.22,8.34,Europe,Culture,0.61,0,Mobile,Survey,0.2,94,-0.53,1,53,Female,Mobile App,PayPal,0,1292,0,1,1,0
145,Digital,Monthly,1.12,29,1,0.27,11.84,North America,Finance,0.54,1,Mobile,Retention Offer,0.2,85,0.68,2,35,Female,Web,Credit Card,1,1191,0,1,0,0
146,Digital,Annual,4.22,24,0,0.8,3.91,North America,Technology,0.89,0,Mobile,Retention Offer,0.43,36,0.96,2,40,Female,Mobile App,Credit Card,0,1199,1,1,1,0
147,Digital,Annual,2.58,9,1,0.04,13.19,North America,Culture,0.83,0,Mobile,Newsletter Promo,0.3,24,-0.78,5,30,Female,Web,Credit Card,0,158,0,1,1,0
148,Digital,Monthly,2.58,0,1,0.99,7.78,Asia,Technology,0.52,1,Desktop,,0.39,-84,0.24,5,66,Female,Mobile App,Credit Card,0,452,0,1,1,0
149,Digital,Annual,4.19,9,1,0.13,10.05,North America,Politics,0.37,0,Desktop,,0.36,9,0.37,4,61,Female,Web,Credit Card,0,535,0,1,1,0
